edge_id,route_id,source,target,geom,length_m,kind,route_name,route_ref,sign_type,sign_num,state,fclass,aadt,aadt_com,through_lanes
924,328437,178252,178307,"LINESTRING(-97.2992599994401 44.587091999819,-97.2972340002337 44.5871069997699)",160.89539623832223,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
925,328450,178806,178847,"LINESTRING(-97.2749560003765 44.5869849995027,-97.2729310000967 44.586957000087)",160.83788803302664,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
926,328451,179153,179211,"LINESTRING(-97.2648320005992 44.5868699999656,-97.263804999854 44.5868610003428,-97.2628070003194 44.5868520000787)",160.82053533696163,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
927,328465,176363,176409,"LINESTRING(-97.3541640001361 45.0733100004899,-97.3537099996764 45.0730299996681,-97.3534100001007 45.0728700000326,-97.3525539999581 45.0724179996572)",161.0301957739456,truck_route,S 20,S 20,S,20,SD,4,1244,149,2
928,328475,176276,176305,"LINESTRING(-97.3582499997824 45.0765300001493,-97.357643999885 45.0759850002635,-97.356990000307 45.0753970002436)",160.3061650403037,truck_route,S 20,S 20,S,20,SD,4,1244,149,2
929,328477,176250,176276,"LINESTRING(-97.359539999395 45.0776610003429,-97.3591800004432 45.077350000659,-97.3588399997863 45.077050000182,-97.3582499997824 45.0765300001493)",161.60632457257225,truck_route,S 20,S 20,S,20,SD,4,1244,149,2
930,328481,177532,177561,"LINESTRING(-97.3245480004895 45.0555969996923,-97.3232060001 45.0547400003655)",142.28703168715504,truck_route,S 20,S 20,S,20,SD,4,1244,149,2
931,328484,176861,176910,"LINESTRING(-97.3380780003957 45.0643939999763,-97.3365729997997 45.0634140000157)",160.97028606787904,truck_route,S 20,S 20,S,20,SD,4,1244,149,2
932,328492,176831,176861,"LINESTRING(-97.339598999987 45.0653609997788,-97.3389670001504 45.0649489994726,-97.3387000001867 45.0648000001415,-97.3380780003957 45.0643939999763)",160.99664710559583,truck_route,S 20,S 20,S,20,SD,4,1244,149,2
933,328503,178363,178391,"LINESTRING(-97.2947059999887 45.007184999853,-97.2946499999122 45.0071499999997,-97.2938799999833 45.0066900002119,-97.293161000108 45.0062389997789)",160.91132124792028,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
934,328504,178391,178425,"LINESTRING(-97.293161000108 45.0062389997789,-97.2916300004709 45.0052799997877)",161.0198688693631,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
935,328505,178425,178463,"LINESTRING(-97.2916300004709 45.0052799997877,-97.2900999997605 45.0043209996207)",160.96235140690047,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
936,328506,178463,178499,"LINESTRING(-97.2900999997605 45.0043209996207,-97.2898940007945 45.0041920003748,-97.2885660006487 45.0033649998102)",160.98004410733785,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
937,328510,178229,178257,"LINESTRING(-97.3002339995835 45.0113909999584,-97.2998700004337 45.0109400003392,-97.2992799995315 45.0103499996183,-97.2990999996065 45.0101919997865)",160.71836306660845,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
938,328512,178257,178294,"LINESTRING(-97.2990999996065 45.0101919997865,-97.2985009993818 45.009667999636,-97.2977470002447 45.0091110004231)",160.7916751735432,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
939,328528,178597,178633,"LINESTRING(-97.2839620000703 45.0004979997425,-97.2837400003124 45.0003599993506,-97.2824330000831 44.9995380003763)",160.98458882480145,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
940,328548,178014,178054,"LINESTRING(-97.3079720003043 45.0448139998027,-97.307470000164 45.0444400001777,-97.3066109996483 45.0437280006266)",161.49512407290263,truck_route,S 20,S 20,S,20,SD,4,1970,124,2
